Name,Year,Genre,Critic_Score,Global_Sales,Platform,cat_publi,cat_studio
Banjo-Kazooie: Nuts & Bolts,2008,Platform,8.0,0.76,X360,3,3
Banjo-Pilot,2005,Racing,6.2,0.1,GBA,3,3
Banjo-Tooie,2000,Platform,9.3,1.49,N64,3,3
Barbie Groovy Games,2002,Misc,3.0,0.56,GBA,3,2
Barbie as The Island Princess,2007,Adventure,5.5,0.23,GBA,3,1
Barbie as the Princess and the Pauper,2004,Adventure,6.0,0.02,GBA,1,0
Barnyard,2006,Action,5.6,0.05,GBA,3,0
Baroque,2008,Role-Playing,5.2,0.08,Wii,3,2
Baseball Advance,2002,Sports,8.3,0.13,GBA,3,2
Bass Hunter 64,1999,Sports,6.0,0.31,N64,3,1
Baten Kaitos Origins,2006,Role-Playing,7.5,0.1,GC,3,1
Baten Kaitos: Eternal Wings and the Lost Ocean,2004,Role-Playing,8.2,0.27,GC,3,1
Batman & Robin,1998,Action,5.4,0.11,PS,3,0
Batman Begins,2005,Action,6.3,0.17,GBA,3,3
Batman Beyond: Return of the Joker,2000,Action,2.0,0.09,N64,3,1
Batman Forever: The Arcade Game,1996,Action,5.2,0.03,PS,3,3
Batman: Arkham Asylum,2009,Action,9.0,8.14,Multi_Plateforme,3,3
Batman: Arkham City,2011,Action,9.0,10.81,Multi_Plateforme,3,3
Batman: Arkham City Armored Edition,2012,Action,8.6,0.37,WiiU,3,3
Batman: Arkham Knight,2015,Action,8.1,4.11,PS4,3,3
Batman: Arkham Origins Blackgate,2013,Action-Adventure,7.0,0.27,3DS,3,1
Batman: Dark Tomorrow,2003,Action,2.3,0.08,GC,1,0
Batman: Rise of Sin Tzu,2003,Action,5.5,0.07,GBA,3,3
Batman: The Brave and the Bold the Videogame,2010,Action,7.5,0.5800000000000001,DS,3,2
Batman: Vengeance,2001,Adventure,6.2,0.99,Multi_Plateforme,3,3
Battalion Wars 2,2007,Strategy,7.7,0.34,Wii,3,2
Battle B-Daman,2006,Action,6.0,0.01,GBA,3,3
Battle Chasers: Nightwar,2018,Role-Playing,8.5,0.05,NS,1,0
Battle Fantasia,2008,Fighting,7.0,0.09999999999999999,PS3,3,3
BattleBots: Beyond the BattleBox,2002,Action,5.8,0.06,GBA,3,0
Battlebots: Design & Destroy,2003,Action,4.0,0.44,GBA,3,1
Battlefield 1,2016,Shooter,9.1,13.16,Multi_Plateforme,3,3
Battlefield 1942,2002,Shooter,9.0,0.03,PC,3,0
Battlefield 2,2005,Shooter,9.0,0.08,PC,3,0
Battlefield 2: Modern Combat,2005,Shooter,7.5,1.4100000000000001,Multi_Plateforme,3,2
Battlefield 3,2011,Shooter,8.5,17.32,Multi_Plateforme,3,3
Battlefield 4,2013,Shooter,8.7,11.120000000000001,Multi_Plateforme,3,3
Battlefield Vietnam,2004,Shooter,8.5,0.03,PC,3,1
Battlefield: Bad Company,2008,Shooter,8.6,2.8,PS3,3,3
Battlefield: Bad Company 2,2010,Shooter,8.8,7.16,Multi_Plateforme,3,3
Battles of Prince of Persia,2005,Strategy,5.6,0.12,DS,3,3
